date,isfull,minutes
2022-03-31,1,887.0
2022-04-01,0,531.0
2022-04-01,1,271.0
2022-04-02,0,1041.0
2022-04-02,1,0.0
2022-04-03,0,664.0
2022-04-03,1,371.0
2022-04-04,0,358.0
2022-04-04,1,472.0
2022-04-05,0,453.0
2022-04-05,1,507.0
2022-04-06,0,350.0
2022-04-06,1,546.0
2022-04-07,0,753.0
2022-04-07,1,159.00000000000003
2022-04-08,0,417.0
2022-04-08,1,571.0
2022-04-09,0,703.0
2022-04-09,1,41.0
2022-04-10,0,418.0
2022-04-10,1,414.0
2022-04-11,0,387.0
2022-04-11,1,601.0
2022-04-12,0,339.0
2022-04-12,1,388.0
2022-04-13,0,665.0
2022-04-13,1,299.0
2022-04-14,0,344.0
2022-04-14,1,536.0
2022-04-15,0,1608.0
2022-04-15,1,254.0
2022-04-17,0,439.0
2022-04-17,1,0.0
2022-04-18,0,391.0
2022-04-18,1,359.0
2022-04-19,0,246.0
2022-04-19,1,531.0
2022-04-20,0,262.0
2022-04-20,1,528.0
2022-04-21,0,597.0
2022-04-21,1,422.0
2022-04-22,0,344.0
2022-04-22,1,504.0
2022-04-23,0,735.0
2022-04-23,1,120.0
2022-04-24,0,719.0
2022-04-24,1,93.0
2022-04-25,0,625.0
2022-04-25,1,233.0
2022-04-26,0,417.0
2022-04-26,1,422.0
2022-04-27,0,553.0
2022-04-27,1,395.0
2022-04-28,0,448.0
2022-04-28,1,486.00000000000006
2022-04-29,0,489.0
2022-04-29,1,434.0
2022-04-30,0,962.0000000000001
2022-04-30,1,108.0
2022-05-01,0,608.0
2022-05-01,1,442.0
2022-05-02,0,731.0000000000001
2022-05-02,1,24.0
2022-05-03,0,531.0
2022-05-03,1,393.0
2022-05-04,0,323.0
2022-05-04,1,433.0
2022-05-05,0,673.0
2022-05-05,1,325.0
2022-05-06,0,480.0
2022-05-06,1,358.0
2022-05-07,0,657.0
2022-05-07,1,233.0
2022-05-08,0,462.0
2022-05-08,1,310.0
2022-05-09,0,588.0
2022-05-09,1,316.0
2022-05-10,0,512.0
2022-05-10,1,151.0
2022-05-11,0,371.00000000000006
2022-05-11,1,427.0
2022-05-12,0,387.0
2022-05-12,1,1021.0
2022-05-13,0,294.0
2022-05-13,1,538.0
2022-05-14,0,672.0
2022-05-14,1,8.000000000000002
2022-05-15,0,241.0
2022-05-15,1,286.0
2022-05-16,0,357.0
2022-05-16,1,522.0
2022-05-17,0,557.0
2022-05-17,1,375.0
2022-05-18,0,436.0
2022-05-18,1,498.0
2022-05-19,0,572.0
2022-05-19,1,316.0
2022-05-20,0,181.0
2022-05-20,1,268.0
