date,begin,end,isprod
2022-05-11,2022-05-11 23:31:00,2022-05-11 23:41:00,0
2022-05-11,2022-05-11 21:51:00,2022-05-11 23:31:00,0
2022-05-11,2022-05-11 21:45:00,2022-05-11 21:51:00,1
2022-05-11,2022-05-11 21:14:00,2022-05-11 21:45:00,0
2022-05-11,2022-05-11 21:07:00,2022-05-11 21:14:00,2
2022-05-11,2022-05-11 19:37:00,2022-05-11 21:07:00,1
2022-05-11,2022-05-11 19:13:00,2022-05-11 19:37:00,0
2022-05-11,2022-05-11 18:06:00,2022-05-11 18:17:00,0
2022-05-11,2022-05-11 15:54:00,2022-05-11 19:13:00,1
2022-05-11,2022-05-11 15:09:00,2022-05-11 15:54:00,1
2022-05-11,2022-05-11 15:01:00,2022-05-11 15:09:00,1
2022-05-11,2022-05-11 14:41:00,2022-05-11 15:01:00,1
2022-05-11,2022-05-11 14:17:00,2022-05-11 14:41:00,2
2022-05-11,2022-05-11 14:12:00,2022-05-11 14:16:00,1
2022-05-11,2022-05-11 14:08:00,2022-05-11 14:12:00,1
2022-05-11,2022-05-11 14:01:00,2022-05-11 14:08:00,2
2022-05-11,2022-05-11 14:00:00,2022-05-11 14:01:00,1
2022-05-11,2022-05-11 13:43:00,2022-05-11 14:00:00,1
2022-05-11,2022-05-11 13:29:00,2022-05-11 13:43:00,2
2022-05-11,2022-05-11 13:01:00,2022-05-11 13:29:00,1
2022-05-11,2022-05-11 12:55:00,2022-05-11 12:59:00,2
2022-05-11,2022-05-11 12:00:00,2022-05-11 12:55:00,0
2022-05-11,2022-05-11 11:40:00,2022-05-11 12:00:00,2
2022-05-11,2022-05-11 11:29:00,2022-05-11 11:40:00,1
2022-05-11,2022-05-11 11:02:00,2022-05-11 11:29:00,2
2022-05-10,2022-05-10 20:04:00,2022-05-10 23:25:00,0
2022-05-10,2022-05-10 19:42:00,2022-05-10 20:04:00,2
2022-05-10,2022-05-10 19:17:00,2022-05-10 19:42:00,2
2022-05-10,2022-05-10 17:33:00,2022-05-10 19:15:00,1
2022-05-10,2022-05-10 17:31:00,2022-05-10 17:33:00,0
2022-05-10,2022-05-10 16:41:00,2022-05-10 17:31:00,1
2022-05-10,2022-05-10 15:20:00,2022-05-10 16:41:00,0
2022-05-10,2022-05-10 15:00:00,2022-05-10 15:19:00,0
2022-05-10,2022-05-10 13:05:00,2022-05-10 15:00:00,0
2022-05-10,2022-05-10 12:51:00,2022-05-10 13:05:00,2
2022-05-10,2022-05-10 12:15:00,2022-05-10 12:51:00,2
2022-05-09,2022-05-09 22:53:00,2022-05-10 02:21:00,0
2022-05-09,2022-05-09 22:46:00,2022-05-09 22:53:00,2
2022-05-09,2022-05-09 21:40:00,2022-05-09 22:46:00,0
2022-05-09,2022-05-09 20:37:00,2022-05-09 21:40:00,0
2022-05-09,2022-05-09 19:35:00,2022-05-09 20:37:00,2
2022-05-09,2022-05-09 19:25:00,2022-05-09 19:35:00,1
2022-05-09,2022-05-09 19:20:00,2022-05-09 19:25:00,2
2022-05-09,2022-05-09 18:11:00,2022-05-09 19:20:00,1
2022-05-09,2022-05-09 17:40:00,2022-05-09 18:11:00,2
2022-05-09,2022-05-09 17:05:00,2022-05-09 17:40:00,1
2022-05-09,2022-05-09 16:42:00,2022-05-09 17:05:00,1
2022-05-09,2022-05-09 16:34:00,2022-05-09 16:42:00,2
2022-05-09,2022-05-09 16:19:00,2022-05-09 16:34:00,2
2022-05-09,2022-05-09 15:42:00,2022-05-09 16:14:00,1
2022-05-09,2022-05-09 14:25:00,2022-05-09 15:42:00,0
2022-05-09,2022-05-09 13:50:00,2022-05-09 14:25:00,1
2022-05-09,2022-05-09 13:46:00,2022-05-09 13:50:00,1
2022-05-09,2022-05-09 13:18:00,2022-05-09 13:45:00,1
2022-05-09,2022-05-09 13:17:00,2022-05-09 13:18:00,0
2022-05-09,2022-05-09 13:12:00,2022-05-09 13:17:00,1
2022-05-09,2022-05-09 12:20:00,2022-05-09 13:12:00,1
2022-05-09,2022-05-09 02:48:00,2022-05-09 02:54:00,2
2022-05-09,2022-05-09 02:30:00,2022-05-09 02:48:00,1
2022-05-09,2022-05-09 02:03:00,2022-05-09 02:30:00,2
2022-05-09,2022-05-09 01:31:00,2022-05-09 02:03:00,1
2022-05-08,2022-05-08 23:45:00,2022-05-09 01:31:00,0
2022-05-08,2022-05-08 22:05:00,2022-05-08 23:45:00,1
2022-05-08,2022-05-08 21:48:00,2022-05-08 22:05:00,0
2022-05-08,2022-05-08 21:44:00,2022-05-08 21:48:00,2
2022-05-08,2022-05-08 21:33:00,2022-05-08 21:44:00,2
2022-05-08,2022-05-08 21:17:00,2022-05-08 21:33:00,2
2022-05-08,2022-05-08 21:14:00,2022-05-08 21:17:00,2
2022-05-08,2022-05-08 20:19:00,2022-05-08 21:14:00,1
2022-05-08,2022-05-08 20:16:00,2022-05-08 20:19:00,2
2022-05-08,2022-05-08 20:06:00,2022-05-08 20:16:00,2
2022-05-08,2022-05-08 19:47:00,2022-05-08 20:06:00,2
2022-05-08,2022-05-08 19:17:00,2022-05-08 19:57:00,0
2022-05-08,2022-05-08 18:00:00,2022-05-08 19:17:00,2
2022-05-08,2022-05-08 17:53:00,2022-05-08 18:00:00,2
2022-05-08,2022-05-08 16:51:00,2022-05-08 17:53:00,0
2022-05-08,2022-05-08 15:59:00,2022-05-08 16:51:00,1
2022-05-08,2022-05-08 14:49:00,2022-05-08 14:49:00,0
2022-05-08,2022-05-08 14:38:00,2022-05-08 14:49:00,1
2022-05-08,2022-05-08 14:16:00,2022-05-08 14:38:00,0
2022-05-08,2022-05-08 12:34:00,2022-05-08 13:06:00,1
2022-05-08,2022-05-08 12:22:00,2022-05-08 12:34:00,2
2022-05-08,2022-05-08 12:19:00,2022-05-08 14:16:00,1
2022-05-08,2022-05-08 12:19:00,2022-05-08 12:19:00,2
2022-05-08,2022-05-08 12:10:00,2022-05-08 12:19:00,2
2022-05-07,2022-05-07 23:03:00,2022-05-08 01:42:00,0
2022-05-07,2022-05-07 22:50:00,2022-05-07 23:03:00,0
2022-05-07,2022-05-07 22:10:00,2022-05-07 22:48:00,1
2022-05-07,2022-05-07 19:02:00,2022-05-07 22:10:00,0
2022-05-07,2022-05-07 18:35:00,2022-05-07 19:02:00,0
2022-05-07,2022-05-07 18:21:00,2022-05-07 18:35:00,1
2022-05-07,2022-05-07 18:17:00,2022-05-07 18:21:00,0
2022-05-07,2022-05-07 17:39:00,2022-05-07 18:17:00,1
2022-05-07,2022-05-07 16:43:00,2022-05-07 17:39:00,0
2022-05-07,2022-05-07 16:19:00,2022-05-07 16:43:00,2
2022-05-07,2022-05-07 16:16:00,2022-05-07 16:19:00,2
2022-05-07,2022-05-07 16:03:00,2022-05-07 16:15:00,1
2022-05-07,2022-05-07 14:58:00,2022-05-07 15:35:00,1
2022-05-07,2022-05-07 14:02:00,2022-05-07 14:58:00,0
2022-05-07,2022-05-07 13:41:00,2022-05-07 14:00:00,1
2022-05-07,2022-05-07 13:33:00,2022-05-07 13:40:00,0
2022-05-07,2022-05-07 13:19:00,2022-05-07 13:33:00,0
2022-05-07,2022-05-07 11:54:00,2022-05-07 13:19:00,1
2022-05-07,2022-05-07 11:40:00,2022-05-07 11:54:00,1
2022-05-07,2022-05-07 11:20:00,2022-05-07 11:40:00,2
2022-05-07,2022-05-07 01:12:00,2022-05-07 01:50:00,0
2022-05-07,2022-05-07 00:54:00,2022-05-07 01:12:00,2
2022-05-07,2022-05-07 00:39:00,2022-05-07 00:54:00,1
2022-05-06,2022-05-06 23:38:00,2022-05-07 00:39:00,1
2022-05-06,2022-05-06 23:15:00,2022-05-06 23:38:00,0
